,Name,Phone Number,Address,Price range,Facility,1st Review,Ratings,Review Count,Food Category
0,The Tavern Kitchen & Bar,Not Specified,Not Specified,Not Specified,['Indoor & Outdoor dining'],"“Wow. That's all I can really say about this place. 

First, the service. Jake and Dustin were absolutely amazing. Jake sat me at the chefs table and Dustin…” more",4.5 star rating,354,"['American (New)', 'Seafood', 'Wine Bars']"
1,1356 Public House,Not Specified,Not Specified,Not Specified,['Indoor & Outdoor dining'],"“Places with kid menus are always a win to me. And the service was quick. (It was not crowded so I did expect it to be quick.) 

The philly cheesesteak was very…” more",4 star rating,58,"['Sports Bars', 'Pubs', 'Burgers']"
2,Shack Breakfast & Lunch,Not Specified,Not Specified,Not Specified,"['Live wait time: 0 mins', 'Indoor & Outdoor dining']",Live wait time: 0 mins,4.5 star rating,443,"['American (New)', 'Breakfast & Brunch']"
3,Lazy River Grill,Not Specified,Not Specified,Not Specified,['Indoor dining'],"“My husband and I just ate here first time. Walleye was Awesome and Cheddar Burger was Awesome. The side salad and coleslaw wasn't that great, left something to…” more",4 star rating,100,"['American (Traditional)', 'Seafood', 'Fish & Chips']"
4,Rozanna,Not Specified,Not Specified,Not Specified,['Indoor dining'],“As a first generation arab-american I've eaten middle eatern/ mediterranean food and believe when I say this is some of the best food I've ever eaten from the…” more,4.5 star rating,36,"['Mediterranean', 'Middle Eastern', 'Syrian']"
5,Meramec Jack’s,Not Specified,Not Specified,Not Specified,[],"“If you like seedy, smoky dives, this is your place. The BEST cheeseburgers and Willie Fries. Strong drinks. Low prices. The owner, Tracy, is the daughter of…” more",4 star rating,44,['American (New)']
6,Joey B’s Food & Drink,Not Specified,Not Specified,Not Specified,"['Waitlist opens at 11:00 am', 'Indoor & Outdoor dining']",Waitlist opens at 11:00 am,3.5 star rating,270,"['American (New)', 'Italian', 'Sports Bars']"
7,Sauce On The Side,Not Specified,Not Specified,Not Specified,['Sit-down dining'],"“Nee to town and had already heard about this place. The staff asked if we had been in before and she was quick to give us the run down of the favorites, which…” more",4 star rating,31,"['Italian', 'Bars', 'Barbeque']"
8,Circle 7 Ranch,Not Specified,Not Specified,Not Specified,"['Waitlist opens at 11:00 am', 'Indoor & Outdoor dining']",Waitlist opens at 11:00 am,4 star rating,413,"['Salad', 'Wraps', 'Burgers']"
9,Malinche Mexican Culinary Experience,Not Specified,Not Specified,Not Specified,['Sit-down dining'],"“Authentic Mexican food - excellent fresh Margarita - little appetizer served to start you off.   Limited menu = quality!

Order the excellent chips/fresh fried…” more",5 star rating,144,"['Mexican', 'Cocktail Bars']"
10,The Port of Peri Peri - Ballwin,Not Specified,Not Specified,Not Specified,['Delivery'],“The peri peri chicken is amazing.  It is about time a place like this opened in St. Louis.  The food and portions are great.” more,4 star rating,7,"['Portuguese', 'Chicken Shop', 'Halal']"
11,The Wolf,Not Specified,Not Specified,Not Specified,['Indoor & Outdoor dining'],“Casual and laid back place with healthy choices and good music on Fridays and Saturdays.” more,4.5 star rating,295,"['Coffee & Tea', 'Salad']"
